id,Category,Sub Category,Name,Description,Ingredients,calorie,total_fat,colesterol,sodium,carbs,protein,caffeine,sugars,drink_calorie,drink_size,price
1702947776-45,Iced Teas,Tea,Iced Chai Tea Latte,"Black tea infused with cinnamon, clove, and other warming spices are combined with milk and ice for the perfect balance of sweet and spicy.","Milk, Ice, Chai Tea Concentrate [An Infusion Of (Water, Black Tea, Cardamom, Black Pepper, Ginger, Cinnamon, Cloves, Natural Flavours, Star Anise), Sugar, Honey, Ginger Juice, Natural Flavours, Vanilla, Citric Acid]",240,4 g,15 mg,110 mg,44 g,7 g,95 mg*,42 g,240,Grande  16 fl oz,4.5
1702947786-46,Iced Teas,Tea,Iced Pumpkin Cream Chai Tea Latte,"A rich and creamy Iced Chai Tea Latte--a blend of black tea infused with cinnamon, other warming spices and milk, topped with a sweet pumpkin cream cold foam and a dusting of pumpkin spice topping.","INGREDIENTS: MILK, ICE, PUMPKIN SPICE CREAM [VANILLA SWEET CREAM (CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), MILK, VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)), PUMPKIN SPICE SAUCE (SUGAR, CONDENSED SKIM MILK, PUMPKIN PUREE, CONTAINS 2% OR LESS OF FRUIT AND VEGETABLE JUICE FOR COLOR, NATURAL FLAVORS, ANNATTO, SALT, POTASSIUM SORBATE)], CHAI TEA CONCENTRATE [AN INFUSION OF (WATER, BLACK TEA, CARDAMOM, BLACK PEPPER, GINGER, CINNAMON, CLOVES, NATURAL FLAVORS, STAR ANISE), SUGAR, HONEY, GINGER JUICE, NATURAL FLAVORS, VANILLA, CITRIC ACID], PUMPKIN SPICE TOPPING [CINNAMON, GINGER, NUTMEG, AND CLOVES]",460,17 g,55 mg,160 mg,68 g,10 g,95 mg*,66 g,460,Grande  16 fl oz,4.5
1702947795-47,Iced Teas,Tea,Iced Gingerbread Oatmilk Chai,"Warm chai spices, creamy oatmilk and ice, topped with frothy oatmilk infused with gingerbread-flavored syrup and a spice topping to create a unique and festive feel-good moment.","OATMILK [OATMILK (WATER, OATS), CANOLA OIL, CONTAINS 2% OR LESS OF: DIPOTASSIUM PHOSPHATE, CALCIUM CARBONATE, TRICALCIUM PHOSPHATE, SEA SALT, DICALCIUM PHOSPHATE, RIBOFLAVIN, VITAMIN A, VITAMIN D2, VITAMIN B12], ICE, CHAI TEA CONCENTRATE [AN INFUSION OF (WATER, BLACK TEA, CARDAMOM, BLACK PEPPER, GINGER, CINNAMON, CLOVES, NATURAL FLAVORS, STAR ANISE), SUGAR, HONEY, GINGER JUICE, NATURAL FLAVORS, VANILLA, CITRIC ACID], GINGERBREAD FLAVORED SYRUP [WATER, SUGAR, NATURAL FLAVOR, CITRIC ACID, SODIUM BENZOATE (PRESERVATIVE)], PUMPKIN SPICE TOPPING [CINNAMON, GINGER, NUTMEG, AND CLOVES]",360,10 g,0 mg,125 mg,69 g,3 g,100 mg*,45 g,360,Grande  16 fl oz,4.5
1702947806-48,Iced Teas,Tea,Iced London Fog Tea Latte,"Bright, citrusy spark of bergamot blends with subtle hints of lavender and mixes with vanilla syrup, milk and ice to create this delicious reinvention of a classic Earl Grey tea.","Ice, Milk, An Infusion Of [Water, Black Tea, Bergamot Essence, Lavender Flowers], Vanilla Syrup [Sugar, Water, Natural Flavors, Potassium Sorbate, Citric Acid]",140,2.5 g,10 mg,70 mg,25 g,4 g,40 mg*,25 g,140,Grande  16 fl oz,4.5
1702947816-49,Iced Teas,Tea,Iced Royal English Breakfast Tea Latte,"A select blend of rich, full-leaf black teas from India and Sri Lanka sweetened with liquid cane sugar and combined with milk and ice.",Not available for this item,140,2.5 g,10 mg,70 mg,25 g,4 g,40 mg*,25 g,140,Grande  16 fl oz,4.5
1702947826-50,Iced Teas,Tea,Iced Black Tea Lemonade,"Premium black tea sweetened just right, then shaken with refreshing lemonade and ice for this Arnold Palmer-inspired beverage. A distinguished, satisfying treat.","ICE, LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], AN INFUSION OF [WATER, A BLEND OF BLACK TEAS]",50,0 g,0 mg,10 mg,12 g,0 g,25 mg*,11 g,50,Grande  16 fl oz,4.5
1702947836-51,Iced Teas,Tea,Iced Black Tea,Premium black tea sweetened just right and shaken with ice to create an ideal iced tea—a rich and flavorful black tea journey awaits you.,"AN INFUSION OF [WATER, A BLEND OF BLACK TEAS], ICE.",0,0 g,0 mg,10 mg,0 g,0 g,25 mg*,0 g,0,Grande  16 fl oz,4.5
1702947854-52,Cold Coffees,Espresso,Iced Caffè Mocha,"Our rich, full-bodied espresso combined with bittersweet mocha sauce, milk and ice, then topped with sweetened whipped cream. The classic iced coffee drink that always sweetly satisfies.","ICE, MILK, MOCHA SAUCE [WATER, SUGAR, COCOA PROCESSED WITH ALKALI, NATURAL FLAVOR], BREWED ESPRESSO, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)]",350,17 g,50 mg,100 mg,38 g,10 g,175 mg*,30 g,350,Grande  16 fl oz,4.5
1702947864-53,Cold Coffees,Espresso,Iced White Chocolate Mocha,"Our signature espresso meets white chocolate sauce, milk and ice, and then is finished off with sweetened whipped cream to create this supreme white chocolate delight.","ICE, MILK, WHITE CHOCOLATE MOCHA SAUCE [SUGAR, CONDENSED SKIM MILK, COCONUT OIL, COCOA BUTTER, NATURAL FLAVOR, SALT, POTASSIUM SORBATE, MONOGLYCERIDES], BREWED ESPRESSO, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)]",420,20 g,55 mg,200 mg,49 g,11 g,150 mg*,48 g,420,Grande  16 fl oz,4.5
1702947875-54,Cold Coffees,Espresso,Iced Peppermint White Chocolate Mocha,"Our signature espresso meets a trio of white chocolate sauce, peppermint-flavored syrup and milk, served over ice and topped with whipped cream and dark-chocolate curls—a sweet, oh-so-delightfully merry treat.","ICE, MILK, WHITE CHOCOLATE MOCHA SAUCE [SUGAR, CONDENSED SKIM MILK, COCONUT OIL, COCOA BUTTER, NATURAL FLAVOR, SALT, POTASSIUM SORBATE, MONOGLYCERIDES], BREWED ESPRESSO, PEPPERMINT SYRUP [SUGAR, WATER, NATURAL FLAVOR, SODIUM BENZOATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], DARK CHOCOLATE CURLS [SUGAR, CHOCOLATE MASS (PROCESSED WITH ALKALI), COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT, MILK]",490,19 g,50 mg,190 mg,69 g,10 g,150 mg*,68 g,490,Grande  16 fl oz,4.5
1702947887-55,Cold Coffees,Espresso Seasonal,Iced Peppermint Mocha,"Our festive all-star Peppermint Mocha brightens the holidays: signature Espresso Roast combines with milk and ice, sweet mocha sauce and peppermint-flavored syrup, topped with whipped cream and dark-chocolate curls.","ICE, MILK, MOCHA SAUCE [WATER, SUGAR, COCOA PROCESSED WITH ALKALI, NATURAL FLAVOR], BREWED ESPRESSO, PEPPERMINT SYRUP [SUGAR, WATER, NATURAL FLAVOR, SODIUM BENZOATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], DARK CHOCOLATE CURLS [SUGAR, CHOCOLATE MASS (PROCESSED WITH ALKALI), COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT, MILK]",420,17 g,50 mg,90 mg,57 g,9 g,175 mg*,49 g,420,Grande  16 fl oz,4.5
1702947898-56,Cold Coffees,Espresso Seasonal,Iced Caramel Macchiato,"We combine our rich, full-bodied espresso with vanilla-flavored syrup, milk and ice, then top it off with a caramel drizzle for an oh-so-sweet finish.","Milk, Ice, Brewed Espresso, Vanilla Syrup [Sugar, Water, Natural Flavors, Potassium Sorbate, Citric Acid], Caramel Sauce [Sugar, Corn Syrup, Butter (Cream (Milk), Salt), Water, Heavy Cream, Nonfat Dry Milk, Natural Flavors, Salt, Mono & Diglycerides, Soy Lecithin, Sulfites]",250,7 g,25 mg,150 mg,37 g,10 g,150 mg*,34 g,250,Grande  16 fl oz,4.5
1702947909-57,Cold Coffees,Espresso Seasonal,Iced Apple Crisp Oatmilk Macchiato,"Layered flavors of apple, cinnamon, oats and brown sugar harmonize with AnyCoffee Blonde Espresso Roast, creamy oatmilk, ice and spiced apple drizzle to create a delicious apple crisp you can sip. A nostalgic autumn pick-me-up.","OATMILK [OATMILK (WATER, OATS), CANOLA OIL, CONTAINS 2% OR LESS OF: DIPOTASSIUM PHOSPHATE, CALCIUM CARBONATE, TRICALCIUM PHOSPHATE, SEA SALT, DICALCIUM PHOSPHATE, RIBOFLAVIN, VITAMIN A, VITAMIN D2, VITAMIN B12], ICE, BREWED ESPRESSO, APPLE BROWN SUGAR SYRUP [SUGARS (INVERT SUGAR, BROWN SUGAR), WATER, NATURAL FLAVORS, SALT, PRESERVATIVE: POTASSIUM SORBATE, MALIC ACID], SPICED APPLE DRIZZLE [SUGARS (CORN SYRUP, INVERT SUGAR, APPLE JUICE CONCENTRATE, SUGAR), WATER, CINNAMON, SALT, PRESERVATIVE: POTASSIUM SORBATE, CARAMELIZED SUGAR (FOR COLOR, WHEAT), MALIC ACID, NUTMEG]",310,9 g,0 mg,230 mg,58 g,3 g,170 mg*,34 g,310,Grande  16 fl oz,4.5
1702947928-58,Cold Coffees,Espresso,Iced AnyCoffee Blonde Vanilla Latte,"Seriously smooth and subtly sweet AnyCoffee Blonde Espresso, milk, ice and vanilla syrup come together to create a delightful twist on a beloved espresso classic.","ICE, MILK, BREWED ESPRESSO, VANILLA SYRUP [SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID]",190,4 g,15 mg,100 mg,30 g,7 g,170 mg*,28 g,190,Grande  16 fl oz,4.5
1702947940-59,Cold Coffees,Espresso,Iced Cinnamon Dolce Latte,"We add freshly steamed milk and cinnamon dolce-flavored syrup to our classic espresso and ice, topped with sweetened whipped cream and a cinnamon dolce topping to bring you specialness in a treat.","MILK, ICE, BREWED ESPRESSO, CINNAMON DOLCE SYRUP [SUGAR, WATER, NATURAL FLAVOR, CITRIC ACID, POTASSIUM SORBATE], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], CINNAMON DOLCE TOPPING [SUGAR, CINNAMON, SALT, EXTRACTIVES OF BUTTER (MILK), AND OTHER NATURAL FLAVOR]",300,13 g,45 mg,115 mg,38 g,8 g,150 mg*,35 g,300,Grande  16 fl oz,4.5
1702947952-60,Cold Coffees,Espresso,Iced Caffè Latte,"Our dark, rich espresso combined with milk and served over ice. A perfect milk-forward cooldown.","Milk, Ice, Brewed Espresso.",130,4.5 g,20 mg,115 mg,13 g,8 g,150 mg*,11 g,130,Grande  16 fl oz,4.5
1702947965-61,Cold Coffees,Espresso Seasonal,Iced Pumpkin Spice Latte,"Our signature espresso and milk—with the celebrated flavor combination of pumpkin, cinnamon, nutmeg and clove—served over ice. Enjoy it topped with whipped cream and real pumpkin-pie spices.","MILK, ICE, PUMPKIN SPICE SAUCE [SUGAR, CONDENSED SKIM MILK, PUMPKIN PUREE, CONTAINS 2% OR LESS OF FRUIT AND VEGETABLE JUICE FOR COLOR, NATURAL FLAVORS, ANNATTO, SALT, POTASSIUM SORBATE], BREWED ESPRESSO, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], PUMPKIN SPICE TOPPING [CINNAMON, GINGER, NUTMEG, CLOVE, SULFITING AGENTS]",370,16 g,55 mg,190 mg,47 g,11 g,150 mg*,45 g,370,Grande  16 fl oz,4.5
1702947977-62,Cold Coffees,Espresso Seasonal,Iced Chestnut Praline Latte,"We begin with our signature Espresso Roast, ice and milk, and then add flavors of caramelized chestnuts and spices—all topped with a holiday finale of whipped cream and specially spiced praline crumbs.","ICE, MILK, BREWED ESPRESSO, CHESTNUT PRALINE SYRUP [SUGAR, WATER, NATURAL FLAVOR, CITRIC ACID, PRESERVATIVE: POTASSIUM SORBATE], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], CHESTNUT PRALINE TOPPING [SPICED SUGAR (SUGAR, CINNAMON, GINGER, CLOVE), TOFFEE SUGAR (SUGAR, VEGETABLE COLORS (PUMPKIN, APPLE, PURPLE CARROT, HIBISCUS), NATURAL FLAVORS, SALT, ANNATTO, BAKING SODA)]",320,16 g,55 mg,110 mg,37 g,8 g,150 mg*,34 g,320,Grande  16 fl oz,4.5
1702947989-63,Cold Coffees,Espresso Seasonal,Iced Caramel Brulée Latte,"Our signature espresso, milk, ice and rich caramel brulée sauce finished with whipped cream and a supreme topping of even more caramel brulée bits.","ICE, MILK, CARAMEL BRULEE SAUCE [SUGARS (INVERT SUGAR, SUGAR, FRUCTOSE), WATER, SKIM MILK POWDER, NATURAL FLAVOR, SALT, PRESERVATIVE: POTASSIUM SORBATE, SODIUM BICARBONATE], BREWED ESPRESSO, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], CARAMEL BRULEE TOPPING [SUGAR, CORN SYRUP, NATURAL FLAVOR, FRUIT AND VEGETABLE COLORS (APPLE, PURPLE CARROT, HIBISCUS)]",400,16 g,55 mg,290 mg,56 g,8 g,150 mg*,44 g,400,Grande  16 fl oz,4.5
1702948002-64,Cold Coffees,Espresso Seasonal,Iced Sugar Cookie Almondmilk Latte,"Sugar cookie-flavored syrup combined with AnyCoffee Blonde Espresso Roast and almondmilk over ice, topped with red and green sprinkles.","ALMONDMILK [FILTERED WATER, ALMONDS, SUGAR, CALCIUM CARBONATE, SUNFLOWER LECITHIN, SEA SALT, XANTHAN GUM, GUAR GUM, VITAMIN A PALMITATE, VITAMIN D2 (ERGOCALCIFEROL)], ICE, BREWED ESPRESSO, SUGAR COOKIE FLAVORED SYRUP [SUGAR, WATER, NATURAL FLAVOR, PRESERVATIVE: POTASSIUM SORBATE, SALT, CITRIC ACID], RED & GREEN SPRINKLES TOPPING [SUGARS (SUGAR, POWDERED SUGAR (SUGAR, CORN STARCH)), CORN STARCH, NATURAL FLAVOR, VEGETABLE JUICE FOR COLOR (PURPLE SWEET POTATO, SPIRULINA), CARNAUBA WAX, RIBOFLAVIN FOR COLOR, TURMERIC AND BETA CAROTENE FOR COLOR, PALM OIL]",150,3.5 g,0 mg,115 mg,29 g,2 g,170 mg*,25 g,150,Grande  16 fl oz,4.5
1702948017-65,Cold Coffees,Espresso Seasonal,Iced Gingerbread Latte,"Sweet and deliciously spicy gingerbread flavors mingle—with our AnyCoffee Blonde Espresso and milk, topped with whipped cream, nutmeg and spice blend—for the perfect holiday touch, served over ice.","MILK, ICE, BREWED ESPRESSO, GINGERBREAD FLAVORED SYRUP [WATER, SUGAR, NATURAL FLAVOR, CITRIC ACID, SODIUM BENZOATE (PRESERVATIVE)], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARRAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], PUMPKIN SPICE TOPPING [CINNAMON, GINGER, NUTMEG, AND CLOVES]",300,16 g,55 mg,120 mg,30 g,9 g,170 mg*,28 g,300,Grande  16 fl oz,4.5
1702948035-66,Cold Coffees,Espresso,Iced Honey Almondmilk Flat White,"This iced flat white—intentionally made with almondmilk and AnyCoffee Blonde Espresso Roast poured over ice with a hint of honey—creates a perfect amount of cool, creamy, nutty sweetness.","ALMONDMILK [FILTERED WATER, ALMONDS, SUGAR, CALCIUM CARBONATE, SUNFLOWER LECITHIN, SEA SALT, XANTHAN GUM, GUAR GUM, VITAMIN A PALMITATE, VITAMIN D2 (ERGOCALCIFEROL)], ICE, BREWED ESPRESSO, HONEY BLEND [HONEY, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, XANTHAN GUM, CITRIC ACID]",100,2.5 g,0 mg,70 mg,20 g,1 g,150 mg*,17 g,100,Tall  12 fl oz,4.5
1702948050-67,Cold Coffees,Espresso,Iced Flat White,"Smooth ristretto shots of espresso get the perfect amount of whole milk and ice to create a not-too-strong, not-too-creamy, just-right flavor.",Not available for this item,150,8 g,25 mg,110 mg,13 g,8 g,130 mg*,11 g,150,Grande  16 fl oz,4.5
1702948064-68,Cold Coffees,Espresso,Iced Shaken Espresso,"Made with the rich, full-bodied espresso you love—then shaken, chilled and mellowed with sweetness and a touch of milk to create a delightfully and deliciously convenient on-the-go drink.","ICE, MILK, BREWED ESPRESSO, CLASSIC SYRUP [SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID]",100,2 g,5 mg,50 mg,17 g,4 g,225 mg*,14 g,100,Grande  16 fl oz,4.5
1702948079-69,Cold Coffees,Espresso,Iced Brown Sugar Oatmilk Shaken Espresso,"First we shake AnyCoffee Blonde espresso, brown sugar and cinnamon together, and then top it off with oatmilk and ice for a cool lift to power you through your day.","ICE, OATMILK [OATMILK (WATER, OATS), CANOLA OIL, CONTAINS 2% OR LESS OF: DIPOTASSIUM PHOSPHATE, CALCIUM CARBONATE, TRICALCIUM PHOSPHATE, SEA SALT, DICALCIUM PHOSPHATE, RIBOFLAVIN, VITAMIN A, VITAMIN D2, VITAMIN B12], BREWED ESPRESSO, BROWN SUGAR SYRUP [INVERT SUGAR, BROWN SUGAR, WATER, NATURAL FLAVOR, SALT, PRESERVATIVE: POTASSIUM SORBATE], CINNAMON.",120,3 g,0 mg,115 mg,22 g,2 g,255 mg*,12 g,120,Grande  16 fl oz,4.5
1702948094-70,Cold Coffees,Espresso,Iced Toasted Vanilla Oatmilk Shaken Espresso,AnyCoffee Blonde espresso combined with notes of caramelized vanilla shaken together and topped with oatmilk for an energizing treat to boost your day.,"ICE, OATMILK [OATMILK (WATER, OATS), CANOLA OIL, CONTAINS 2% OR LESS OF: DIPOTASSIUM PHOSPHATE, CALCIUM CARBONATE, TRICALCIUM PHOSPHATE, SEA SALT, DICALCIUM PHOSPHATE, RIBOFLAVIN, VITAMIN A, VITAMIN D2, VITAMIN B12], BREWED ESPRESSO, TOASTED VANILLA FLAVORED SYRUP [SUGAR, WATER, NATURAL FLAVORS, PRESERVATIVE: POTASSIUM SORBATE, CITRIC ACID]",140,4.5 g,0 mg,60 mg,23 g,2 g,255 mg*,11 g,140,Grande  16 fl oz,4.5
1702948117-71,Cold Coffees,Espresso Seasonal,Oleato Iced Shaken Espresso with Oatmilk and Toffeenut,"Layers of flavor — coffee forward and lightly sweetened with
notes of toasted nuts, rich espresso, and creamy oatmilk infused
with Partanna extra virgin olive oil.","OATMILK [OATMILK (WATER, OATS), CANOLA OIL, CONTAINS 2% OR LESS OF: DIPOTASSIUM PHOSPHATE, CALCIUM CARBONATE, TRICALCIUM PHOSPHATE, SEA SALT, DICALCIUM PHOSPHATE, RIBOFLAVIN, VITAMIN A, VITAMIN D2, VITAMIN B12], BREWED ESPRESSO, EXTRA VIRGIN OLIVE OIL.",250,17 g,0 mg,125 mg,24 g,2 g,255 mg*,12 g,250,Grande  16 fl oz,4.5
1702948133-72,Cold Coffees,Espresso Seasonal,Iced Apple Crisp Oatmilk Shaken Espresso,"AnyCoffee Blonde espresso combined with notes of apple, cinnamon and brown sugar shaken together to blend the flavors and topped with oatmilk for a perfectly balanced flavor and energizing fall treat.","INGREDIENTS: ICE, OATMILK [OATMILK (WATER, OATS), CANOLA OIL, CONTAINS 2% OR LESS OF: DIPOTASSIUM PHOSPHATE, CALCIUM CARBONATE, TRICALCIUM PHOSPHATE, SEA SALT, DICALCIUM PHOSPHATE, RIBOFLAVIN, VITAMIN A, VITAMIN D2, VITAMIN B12], BREWED ESPRESSO, APPLE BROWN SUGAR SYRUP [SUGARS (INVERT SUGAR, BROWN SUGAR), WATER, NATURAL FLAVORS, SALT, PRESERVATIVE: POTASSIUM SORBATE, MALIC ACID]",180,4.5 g,0 mg,190 mg,34 g,2 g,255 mg*,21 g,180,Grande  16 fl oz,4.5
1702948148-73,Cold Coffees,Espresso,Iced Espresso,"Our smooth signature Espresso Roast over ice boasts rich, robust flavor and caramelly sweetness. A recipe of perfection at the heart of every handcrafted espresso we serve.",Not available for this item,10,0 g,0 mg,0 mg,2 g,1 g,150 mg*,0 g,10,Doppio  1.5 fl oz,4.5
1702948165-74,Cold Coffees,Espresso,Iced Coffee with Milk,"Freshly brewed AnyCoffee Iced Coffee Blend with milk served chilled and sweetened over ice. An absolutely, seriously, refreshingly lift to any day.","Ice, Brewed Coffee, Milk, Classic Syrup [Sugar, Water, Natural Flavors, Potassium Sorbate, Citric Acid]",110,1.5 g,5 mg,40 mg,23 g,2 g,125 mg*,23 g,110,Grande  16 fl oz,4.5
1702948193-75,Cold Coffees,Drip Brew,Iced Coffee,"Freshly brewed AnyCoffee Iced Coffee Blend served chilled and sweetened over ice. An absolutely, seriously, refreshingly lift to any day.","Ice, Brewed Coffee, Classic Syrup [Sugar, Water, Natural Flavors, Potassium Sorbate, Citric Acid]",80,0 g,0 mg,10 mg,20 g,0 g,165 mg*,20 g,80,Grande  16 fl oz,4.5
1702948209-76,Cold Coffees,Espresso,Iced Caffè Americano,"Espresso shots topped with cold water produce a light layer of crema, then served over ice. The result: a wonderfully rich cup with depth and nuance. 
Pro Tip: For an additional boost, ask your barista to try this with an extra shot.","Ice, Water, Brewed Espresso.",15,0 g,0 mg,15 mg,2 g,1 g,225 mg*,0 g,15,Grande  16 fl oz,4.5
1702948227-77,Cold Coffees,Nitro,Vanilla Sweet Cream Nitro Cold Brew,"Served cold, straight from the tap, our Nitro Cold Brew is topped with a float of house-made vanilla sweet cream. The result: a cascade of velvety coffee more sippable than ever.","BREWED COFFEE, VANILLA SWEET CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), MILK, VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)]",70,5 g,15 mg,20 mg,4 g,1 g,265 mg*,4 g,70,Grande  16 fl oz,4.5
1702948232-78,Cold Coffees,Nitro,Nitro Cold Brew,"Our small-batch cold brew—slow-steeped for a super-smooth taste—gets even better. We're infusing it with nitrogen to create a sweet flavor without sugar and cascading, velvety crema. Perfection is served.",Brewed Coffee.,5,0 g,0 mg,10 mg,0 g,0 g,280 mg*,0 g,5,Grande  16 fl oz,4.5
