id,Category,Sub Category,Name,Description,Ingredients,calorie,total_fat,colesterol,sodium,carbs,protein,caffeine,sugars,drink_calorie,drink_size,price
1702948748-103,Frappuccino Blended Beverages,Frappuccino Seasonal,Sugar Cookie Almondmilk Crème Frappuccino Blended Beverage,"Sugar cookie-flavored syrup combined with almondmilk and blended with ice, topped with whipped cream and red and green sprinkles.","ICE, ALMONDMILK [FILTERED WATER, ALMONDS, SUGAR, CALCIUM CARBONATE, SUNFLOWER LECITHIN, SEA SALT, XANTHAN GUM, GUAR GUM, VITAMIN A PALMITATE, VITAMIN D2 (ERGOCALCIFEROL)], CRИME FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM (MILK), MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], SUGAR COOKIE FLAVORED SYRUP [SUGAR, WATER, NATURAL FLAVOR, PRESERVATIVE: POTASSIUM SORBATE, SALT, CITRIC ACID], RED & GREEN SPRINKLES TOPPING [SUGARS (SUGAR, POWDERED SUGAR (SUGAR, CORN STARCH)), CORN STARCH, NATURAL FLAVOR, VEGETABLE JUICE FOR COLOR (PURPLE SWEET POTATO, SPIRULINA), CARNAUBA WAX, RIBOFLAVIN FOR COLOR, TURMERIC AND BETA CAROTENE FOR COLOR, PALM OIL]",310,14 g,35 mg,270 mg,45 g,2 g,0 mg*,43 g,310,Grande  16 fl oz,4.5
1702948777-104,Frappuccino Blended Beverages,Frappuccino,White Chocolate Mocha Frappuccino Blended Beverage,"White chocolate Frappuccino Roast coffee, milk and ice get together for what might be the best thing that happens to you all day. Oh, and there's whipped cream on top.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], COFFEE, WHITE CHOCOLATE MOCHA SAUCE [SUGAR, CONDENSED SKIM MILK, COCONUT OIL, COCOA BUTTER, NATURAL FLAVOR, SALT, POTASSIUM SORBATE, MONOGLYCERIDES]",420,17 g,45 mg,260 mg,61 g,5 g,95 mg*,61 g,420,Grande  16 fl oz,4.5
1702948807-105,Frappuccino Blended Beverages,Frappuccino,Java Chip Frappuccino Blended Beverage,"We blend mocha sauce and Frappuccino chips with coffee, milk and ice, then top it off with whipped cream and a mocha drizzle to bring you endless java joy.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], COFFEE, MOCHA SAUCE [WATER, SUGAR, COCOA PROCESSED WITH ALKALI, NATURAL FLAVOR], FRAPPUCCINO CHIPS [CONFECTIONERY COATING (SUGAR, PALM KERNEL AND PALM OILS, COCOA PROCESSED WITH ALKALI, SOY LECITHIN, VANILLA, MILK), COCOA (PROCESSED WITH ALKALI, 9%), COOKIE CRUMBS (UNBLEACHED UNENRICHED WHEAT FLOUR, SUGAR, PALM AND PALM KERNEL OIL, COCOA PROCESSED WITH ALKALI, CHOCOLATE MASS, SALT, SODIUM BICARBONATE, SOY LECITHIN, NATURAL FLAVOR), CHOCOLATE MASS (2%), AND SALT]",440,19 g,45 mg,260 mg,64 g,6 g,105 mg*,59 g,440,Grande  16 fl oz,4.5
1702948837-106,Frappuccino Blended Beverages,Frappuccino,Mocha Frappuccino Blended Beverage,"Mocha sauce, Frappuccino Roast coffee, milk and ice all come together for a mocha flavor that'll leave you wanting more. To change things up, try it affogato-style with a hot espresso shot poured right over the top.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], COFFEE, MOCHA SAUCE [WATER, SUGAR, COCOA PROCESSED WITH ALKALI, NATURAL FLAVOR]",370,15 g,45 mg,220 mg,54 g,5 g,100 mg*,51 g,370,Grande  16 fl oz,4.5
1702948867-107,Frappuccino Blended Beverages,Frappuccino,Coffee Frappuccino Blended Beverage,Coffee meets milk and ice in a blender for a rumble-and-tumble togetherness to create one of our most-beloved original Frappuccino blended beverages.,"Ice, Milk, Coffee Frappuccino Syrup [Sugar, Water, Natural Flavor, Salt, Xanthan Gum, Potassium Sorbate, Citric Acid], Coffee.",230,3 g,10 mg,230 mg,46 g,3 g,95 mg*,45 g,230,Grande  16 fl oz,4.5
1702948871-108,Frappuccino Blended Beverages,Frappuccino,Caramel Frappuccino Blended Beverage,"Caramel syrup meets coffee, milk and ice for a rendezvous in the blender, while whipped cream and buttery caramel sauce layer the love on top. To change things up, try it affogato-style with a hot espresso shot poured right over the top.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], COFFEE, CARAMEL SYRUP [SUGAR, WATER, NATURAL FLAVOR, CITRIC ACID, POTASSIUM SORBATE], CARAMEL SAUCE [SUGAR, CORN SYRUP, BUTTER (CREAM (MILK), SALT), WATER, HEAVY CREAM, NONFAT DRY MILK, NATURAL FLAVORS, SALT, MONO & DIGLYCERIDES, SOY LECITHIN, SULFITES]",380,16 g,50 mg,230 mg,55 g,4 g,90 mg*,54 g,380,Grande  16 fl oz,4.5
1702948930-109,Frappuccino Blended Beverages,Frappuccino,Caffè Vanilla Frappuccino Blended Beverage,"We take Frappuccino roast coffee and vanilla bean powder, combine them with milk and ice, topped with whipped cream. Tastes like happiness.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], COFFEE, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], VANILLA BEAN POWDER [SUGAR, NATURAL FLAVOR, VANILLA BEAN PIECES]",410,15 g,45 mg,230 mg,64 g,4 g,95 mg*,63 g,410,Grande  16 fl oz,4.5
1702948935-110,Frappuccino Blended Beverages,Frappuccino,Espresso Frappuccino Blended Beverage,"Coffee is combined with a shot of espresso and milk, then blended with ice to give you a nice little jolt and lots of sipping joy.","Ice, Milk, Coffee Frappuccino Syrup [Sugar, Water, Natural Flavor, Salt, Xanthan Gum, Potassium Sorbate, Citric Acid], Coffee, Brewed Espresso.",210,2.5 g,5 mg,210 mg,43 g,3 g,155 mg*,42 g,210,Grande  16 fl oz,4.5
1702948969-111,Frappuccino Blended Beverages,Frappuccino,Caramel Ribbon Crunch Frappuccino Blended Beverage,"Buttery caramel syrup blended with coffee, milk and ice, then topped with a layer of dark caramel sauce, whipped cream, caramel drizzle and a crunchy caramel-sugar topping—oh-so-beautifully delicious.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], COFFEE, DARK CARAMEL SAUCE [CORN SYRUP, SWEETENED CONDENSED MILK (MILK, SUGAR), WATER, SUGAR, NATURAL FLAVORS, BUTTER (CREAM, SALT), SALT, SUNFLOWER LECITHIN, POTASSIUM SORBATE], CARAMEL SAUCE [SUGAR, CORN SYRUP, BUTTER (CREAM (MILK), SALT), WATER, HEAVY CREAM, NONFAT DRY MILK, NATURAL FLAVORS, SALT, MONO & DIGLYCERIDES, SOY LECITHIN, SULFITES], CARAMEL SUGAR TOPPING [CANE SUGAR, NATURAL FLAVORS, VEGETABLE COLORS (PUMPKIN, APPLE, PURPLE CARROT, HIBISCUS), SALT, ANNATTO, BAKING SODA]",470,22 g,65 mg,280 mg,65 g,5 g,85 mg*,60 g,470,Grande  16 fl oz,4.5
1702949000-112,Frappuccino Blended Beverages,Frappuccino Seasonal,Mocha Cookie Crumble Frappuccino,"Frappuccino Roast coffee, mocha sauce and Frappuccino chips blended with milk and ice, layered on top of whipped cream and chocolate cookie crumble and topped with vanilla whipped cream, mocha drizzle and even more chocolate cookie crumble. Each sip is as good as the last . . . all the way to the end.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], COFFEE, MOCHA SAUCE [WATER, SUGAR, COCOA PROCESSED WITH ALKALI, NATURAL FLAVOR], FRAPPUCCINO CHIPS [CONFECTIONERY COATING (SUGAR, PALM KERNEL AND PALM OILS, COCOA PROCESSED WITH ALKALI, SOY LECITHIN, VANILLA, MILK), COCOA (PROCESSED WITH ALKALI, 9%), COOKIE CRUMBS (UNBLEACHED UNENRICHED WHEAT FLOUR, SUGAR, PALM AND PALM KERNEL OIL, COCOA PROCESSED WITH ALKALI, CHOCOLATE MASS, SALT, SODIUM BICARBONATE, SOY LECITHIN, NATURAL FLAVOR), CHOCOLATE MASS (2%), AND SALT], CHOCOLATE COOKIE GRIND TOPPING [SUGAR, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), PALM AND PALM KERNEL OIL, COCOA PROCESSED WITH ALKALI, SALT, SODIUM BICARBONATE, SOY LECITHIN, NATURAL FLAVOR]",480,24 g,60 mg,270 mg,62 g,6 g,95 mg*,55 g,480,Grande  16 fl oz,4.5
1702949006-113,Frappuccino Blended Beverages,Frappuccino Seasonal,Peppermint White Chocolate Mocha Frappuccino Blended Beverage,"A delectable blend of white chocolaty-pepperminty perfection in every cool sip—Frappuccino Roast coffee, white chocolate mocha sauce, peppermint-flavored syrup, milk and ice, topped with whipped cream and dark-chocolate curls.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], COFFEE, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], WHITE CHOCOLATE MOCHA SAUCE [SUGAR, CONDENSED SKIM MILK, COCONUT OIL, COCOA BUTTER, NATURAL FLAVOR, SALT, POTASSIUM SORBATE, MONOGLYCERIDES], PEPPERMINT SYRUP [SUGAR, WATER, NATURAL FLAVOR, SODIUM BENZOATE, CITRIC ACID]",470,17 g,45 mg,280 mg,73 g,6 g,100 mg*,73 g,470,Grande  16 fl oz,4.5
1702949042-114,Frappuccino Blended Beverages,Frappuccino Seasonal,Peppermint Mocha Frappuccino Blended Beverage,"A delectable blend of chocolaty-pepperminty perfection in every cool sip—Frappuccino Roast coffee, mocha sauce, peppermint-flavored syrup, milk and ice, topped with whipped cream and dark-chocolate curls.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], COFFEE, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], MOCHA SAUCE [WATER, SUGAR, COCOA PROCESSED WITH ALKALI, NATURAL FLAVOR], PEPPERMINT SYRUP [SUGAR, WATER, NATURAL FLAVOR, SODIUM BENZOATE, CITRIC ACID], DARK CHOCOLATE CURLS [SUGAR, CHOCOLATE MASS (PROCESSED WITH ALKALI), COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT, MILK]",430,16 g,45 mg,240 mg,67 g,5 g,110 mg*,63 g,430,Grande  16 fl oz,4.5
1702949074-115,Frappuccino Blended Beverages,Frappuccino Seasonal,Chestnut Praline Frappuccino Blended Beverage,"A blissful world of deliciousness: festive flavors of caramelized chestnuts and spices blended with Frappuccino Roast coffee, milk and ice, and topped with whipped cream and spiced praline crumbs.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], COFFEE, CHESTNUT PRALINE SYRUP [SUGAR, WATER, NATURAL FLAVOR, CITRIC ACID, PRESERVATIVE: POTASSIUM SORBATE], CHESTNUT PRALINE TOPPING [SPICED SUGAR (SUGAR, CINNAMON, GINGER, CLOVE), TOFFEE SUGAR (SUGAR, VEGETABLE COLORS (PUMPKIN, APPLE, PURPLE CARROT, HIBISCUS), NATURAL FLAVORS, SALT, ANNATTO, BAKING SODA)]",380,15 g,45 mg,230 mg,57 g,4 g,95 mg*,56 g,380,Grande  16 fl oz,4.5
1702949079-116,Frappuccino Blended Beverages,Frappuccino Seasonal,Caramel Brulée Frappuccino Blended Beverage,"Frappuccino Roast coffee, milk and ice blended with rich caramel brulée sauce, and then topped with whipped cream and our crunchy caramel brulée bits for extra-gooey goodness.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], COFFEE, CARAMEL BRULEE SAUCE [SUGARS (INVERT SUGAR, SUGAR, FRUCTOSE), WATER, SKIM MILK POWDER, NATURAL FLAVOR, SALT, PRESERVATIVE: POTASSIUM SORBATE, SODIUM BICARBONATE], CARAMEL BRULEE TOPPING [SUGAR, CORN SYRUP, NATURAL FLAVOR, FRUIT AND VEGETABLE COLORS (APPLE, PURPLE CARROT, HIBISCUS)]",400,15 g,45 mg,300 mg,64 g,4 g,90 mg*,58 g,400,Grande  16 fl oz,4.5
1702949112-117,Frappuccino Blended Beverages,Frappuccino Seasonal,Pumpkin Spice Frappuccino Blended Beverage,"Pumpkin plus traditional fall spice flavors, blended with coffee, milk and ice and topped with whipped cream and pumpkin-pie spice. Think of it as the ultimate fall care package.","ICE, MILK, COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], COFFEE, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], PUMPKIN SPICE SAUCE [SUGAR, CONDENSED SKIM MILK, PUMPKIN PUREE, CONTAINS 2% OR LESS OF FRUIT AND VEGETABLE JUICE FOR COLOR, NATURAL FLAVORS, ANNATTO, SALT, POTASSIUM SORBATE], PUMPKIN SPICE TOPPING [CINNAMON, GINGER, NUTMEG, AND CLOVES]",420,15 g,50 mg,280 mg,66 g,6 g,100 mg*,65 g,420,Grande  16 fl oz,4.5
1702949148-118,Frappuccino Blended Beverages,Frappuccino Seasonal,Apple Crisp Oatmilk Frappuccino Blended Beverage,,"ICE, OATMILK [OATMILK (WATER, OATS), CANOLA OIL, CONTAINS 2% OR LESS OF: DIPOTASSIUM PHOSPHATE, CALCIUM CARBONATE, TRICALCIUM PHOSPHATE, SEA SALT, DICALCIUM PHOSPHATE, RIBOFLAVIN, VITAMIN A, VITAMIN D2, VITAMIN B12], COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], COFFEE, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], APPLE BROWN SUGAR SYRUP [SUGARS (INVERT SUGAR, BROWN SUGAR), WATER, NATURAL FLAVORS, SALT, PRESERVATIVE: POTASSIUM SORBATE, MALIC ACID], SPICED APPLE DRIZZLE [SUGARS (CORN SYRUP, INVERT SUGAR, APPLE JUICE CONCENTRATE, SUGAR), WATER, CINNAMON, SALT, PRESERVATIVE: POTASSIUM SORBATE, CARAMELIZED SUGAR (FOR COLOR, WHEAT), MALIC ACID, NUTMEG]",420,15 g,35 mg,310 mg,70 g,2 g,100 mg*,60 g,,Grande  16 fl oz,4.5
1702949153-119,Frappuccino Blended Beverages,Frappuccino Seasonal,Sugar Cookie Almondmilk Frappuccino Blended Beverage,"Sugar cookie-flavored syrup combined with Frappuccino Roast coffee and almondmilk and blended with ice, topped with whipped cream and red and green sprinkles.","ICE, ALMONDMILK [FILTERED WATER, ALMONDS, SUGAR, CALCIUM CARBONATE, SUNFLOWER LECITHIN, SEA SALT, XANTHAN GUM, GUAR GUM, VITAMIN A PALMITATE, VITAMIN D2 (ERGOCALCIFEROL)], COFFEE FRAPPUCCINO SYRUP [SUGAR, WATER, NATURAL FLAVOR, SALT, XANTHAN GUM, POTASSIUM SORBATE, CITRIC ACID], COFFEE, WHIPPED CREAM [CREAM (CREAM (MILK), MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], SUGAR COOKIE FLAVORED SYRUP [SUGAR, WATER, NATURAL FLAVOR, PRESERVATIVE: POTASSIUM SORBATE, SALT, CITRIC ACID], RED & GREEN SPRINKLES TOPPING [SUGARS (SUGAR, POWDERED SUGAR (SUGAR, CORN STARCH)), CORN STARCH, NATURAL FLAVOR, VEGETABLE JUICE FOR COLOR (PURPLE SWEET POTATO, SPIRULINA), CARNAUBA WAX, RIBOFLAVIN FOR COLOR, TURMERIC AND BETA CAROTENE FOR COLOR, PALM OIL]",370,13 g,35 mg,260 mg,61 g,2 g,105 mg*,58 g,370,Grande  16 fl oz,4.5
1702949224-120,Hot Drinks,Vanilla Crème,Vanilla Crème,"A smooth, frothy vanilla flavoured luxury. For those times when you’d rather not indulge in the rich flavour of our world-famous espresso—but still desire a hot, creamy vanilla beverage.","MILK, VANILLA SYRUP [SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)]",350,14 g,50 mg,180 mg,44 g,13 g,0 mg*,43 g,350,Grande  16 fl oz,4.5
1702949229-121,Hot Drinks,Steamed Milk,Steamed Milk,"Enjoy a warm cup of skim, 2%, soy, almond or coconutmilk steamed for your sipping pleasure.",Milk.,200,8 g,30 mg,190 mg,19 g,13 g,0 mg*,19 g,200,Grande  16 fl oz,4.5
1702949265-122,Hot Drinks,Pumpkin Spice Crème,Pumpkin Spice Crème,,"MILK, PUMPKIN SPICE SAUCE [SUGAR, CONDENSED SKIM MILK, PUMPKIN PUREE, CONTAINS 2% OR LESS OF FRUIT AND VEGETABLE JUICE FOR COLOR, NATURAL FLAVORS, ANNATTO, SALT, POTASSIUM SORBATE], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], PUMPKIN SPICE TOPPING [CINNAMON, GINGER, NUTMEG, CLOVE, SULFITING AGENTS]",400,15 g,55 mg,250 mg,52 g,15 g,0 mg*,52 g,,Grande  16 fl oz,4.5
1702949302-123,Hot Drinks,Caramel Brulée Crème,Caramel Brulée Crème,Steamed milk and rich caramel brulée sauce deliciously finished with whipped cream and a caramel brulée topping—an ode to holiday sweetness.,"MILK, CARAMEL BRULEE SAUCE [SUGARS (INVERT SUGAR, SUGAR, FRUCTOSE), WATER, SKIM MILK POWDER, NATURAL FLAVOR, SALT, PRESERVATIVE: POTASSIUM SORBATE, SODIUM BICARBONATE], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], CARAMEL BRULEE TOPPING [SUGAR, CORN SYRUP, NATURAL FLAVOR, FRUIT AND VEGETABLE COLORS (APPLE, PURPLE CARROT, HIBISCUS)]",420,14 g,50 mg,350 mg,61 g,13 g,0 mg*,50 g,420,Grande  16 fl oz,4.5
1702949307-124,Hot Drinks,Chestnut Praline Crème,Chestnut Praline Crème,Steamed milk and flavors of caramelized chestnuts and spices—topped with whipped cream and spiced praline crumbs—come together for this festive moment.,"MILK, CHESTNUT PRALINE SYRUP [SUGAR, WATER, NATURAL FLAVOR, CITRIC ACID, PRESERVATIVE: POTASSIUM SORBATE], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], CHESTNUT PRALINE TOPPING [SPICED SUGAR (SUGAR, CINNAMON, GINGER, CLOVE), TOFFEE SUGAR (SUGAR, VEGETABLE COLORS (PUMPKIN, APPLE, PURPLE CARROT, HIBISCUS), NATURAL FLAVORS, SALT, ANNATTO, BAKING SODA)]",350,15 g,55 mg,180 mg,42 g,13 g,0 mg*,41 g,350,Grande  16 fl oz,4.5
1702949346-125,Hot Drinks,Steamed Apple Juice,Steamed Apple Juice,,Apple Juice,220,0 g,0 mg,20 mg,55 g,0 g,0 mg*,50 g,,Grande  16 fl oz,4.5
1702949385-126,Hot Drinks,Caramel Apple Spice,Caramel Apple Spice,"Steamed apple juice complemented with cinnamon syrup, whipped cream and a caramel sauce drizzle.","APPLE JUICE, CINNAMON DOLCE SYRUP [SUGAR, WATER, NATURAL FLAVOR, CITRIC ACID, POTASSIUM SORBATE], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], CARAMEL SAUCE [SUGAR, CORN SYRUP, BUTTER (CREAM (MILK), SALT), WATER, HEAVY CREAM, NONFAT DRY MILK, NATURAL FLAVORS, SALT, MONO & DIGLYCERIDES, SOY LECITHIN, SULFITES]",380,8 g,25 mg,35 mg,77 g,1 g,0 mg*,70 g,380,Grande  16 fl oz,4.5
1702949390-127,Hot Drinks,White Hot Chocolate,White Hot Chocolate,"A traditional hot chocolate beverage made with white chocolate sauce and steamed milk, topped with whipped cream.","MILK, WHITE CHOCOLATE MOCHA SAUCE [SUGAR, CONDENSED SKIM MILK, COCONUT OIL, COCOA BUTTER, NATURAL FLAVOR, SALT, POTASSIUM SORBATE, MONOGLYCERIDES], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)]",440,19 g,55 mg,260 mg,55 g,15 g,0 mg*,55 g,440,Grande  16 fl oz,4.5
1702949431-128,Hot Drinks,Hot Chocolate,Hot Chocolate,Steamed milk with chocolate-flavored syrups. Topped with sweetened whipped cream and chocolate-flavored drizzle. A timeless classic made to sweeten your spirits.,"MILK, MOCHA SAUCE [WATER, SUGAR, COCOA PROCESSED WITH ALKALI, NATURAL FLAVOR], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)]",370,16 g,50 mg,160 mg,43 g,14 g,25 mg*,37 g,370,Grande  16 fl oz,4.5
1702949472-129,Hot Drinks,Peppermint White Hot Chocolate,Peppermint White Hot Chocolate,"A sweet twist on holiday hot chocolate—white chocolate mocha sauce, peppermint-flavored syrup and steamed milk, topped with whipped cream and dark-chocolate curls.","MILK, WHITE CHOCOLATE MOCHA SAUCE [SUGAR, CONDENSED SKIM MILK, COCONUT OIL, COCOA BUTTER, NATURAL FLAVOR, SALT, POTASSIUM SORBATE, MONOGLYCERIDES], PEPPERMINT SYRUP [SUGAR, WATER, NATURAL FLAVOR, SODIUM BENZOATE, CITRIC ACID], WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARRAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)], DARK CHOCOLATE CURLS [SUGAR, CHOCOLATE MASS (PROCESSED WITH ALKALI), COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT, MILK]",520,19 g,50 mg,260 mg,75 g,15 g,0 mg*,74 g,520,Grande  16 fl oz,4.5